Date,Stock Price,Interest Rate (%),Inflation Rate (%),GDP Growth Rate (%),Market Index
2010-01-01,31854.31,4.97,3.87,6.5,36089.94
2010-01-02,57782.14,5.37,3.66,8.23,18088.9
2010-01-03,47939.73,7.27,2.88,6.94,23439.11
2010-01-04,41939.63,4.7,5.04,3.58,33888.26
2010-01-05,22020.84,7.35,4.38,4.3,27908.95
2010-01-06,22019.75,3.44,6.33,4.54,36372.84
2010-01-07,17613.76,6.88,2.16,4.81,43719.86
2010-01-08,53977.93,7.24,5.22,6.96,15846.04
2010-01-09,42050.18,3.91,5.81,6.53,35415.73
2010-01-10,46863.27,5.15,5.8,4.42,19601.36
2010-01-11,15926.3,3.83,6.43,3.47,25677.73
2010-01-12,58645.94,6.53,5.65,4.2,13084.47
2010-01-13,52459.92,5.68,6.64,9.89,16484.94
2010-01-14,24555.26,6.18,3.66,6.28,22552.65
2010-01-15,23182.12,3.98,4.52,9.07,23285.53
2010-01-16,23253.2,4.06,2.07,8.94,41686.31
2010-01-17,28690.9,3.21,2.03,6.58,36479.83
2010-01-18,38614.04,4.61,3.2,7.95,44082.04
2010-01-19,34437.53,5.8,2.5,4.35,31769.36
2010-01-20,28105.31,7.29,3.3,7.82,19976.55
2010-01-21,42533.38,6.33,2.89,4.91,22812.62
2010-01-22,21277.22,5.18,2.14,8.82,22554.59
2010-01-23,28146.51,7.77,6.55,3.59,22774.31
2010-01-24,31486.28,6.6,2.04,8.41,34207.82
2010-01-25,35523.15,7.65,5.68,3.7,29516.66
2010-01-26,50332.92,5.64,2.76,9.17,24719.0
2010-01-27,23985.32,4.29,6.56,5.13,16919.96
2010-01-28,38140.55,3.26,6.46,7.58,12730.59
2010-01-29,41658.66,6.63,5.27,6.41,19221.54
2010-01-30,17090.27,3.61,5.36,5.56,15546.56
2010-01-31,42339.52,4.51,2.03,7.52,37919.69
2010-02-01,22673.59,5.66,6.92,9.63,15712.43
2010-02-02,17927.32,5.82,6.39,3.29,35899.53
2010-02-03,57699.85,6.0,6.48,9.43,24726.74
2010-02-04,58453.44,3.83,5.3,7.26,14421.49
2010-02-05,51377.88,4.9,3.72,8.65,38820.09
2010-02-06,28707.62,6.09,6.47,5.69,31127.81
2010-02-07,19395.25,7.85,3.46,6.3,19780.13
2010-02-08,45790.49,6.64,4.81,9.08,41524.48
2010-02-09,34806.86,7.61,2.5,5.9,13493.52
2010-02-10,20491.72,6.81,6.61,6.74,18660.05
2010-02-11,37282.96,5.96,2.7,3.14,36817.55
2010-02-12,16547.48,3.96,3.12,4.11,35409.47
2010-02-13,55919.42,6.33,4.79,7.49,21545.97
2010-02-14,26645.1,6.12,5.82,8.02,14046.82
2010-02-15,44813.5,6.01,5.1,7.08,40316.58
2010-02-16,29027.0,5.45,3.16,4.0,22352.02
2010-02-17,38403.06,5.64,2.0,6.12,18458.54
2010-02-18,39601.96,4.67,5.79,5.49,29030.04
2010-02-19,23318.45,5.6,6.93,6.47,42037.5
2010-02-20,58631.31,3.99,6.05,9.09,13437.04
2010-02-21,49880.98,7.03,4.3,8.43,37271.53
2010-02-22,57277.45,3.93,6.52,3.59,30891.62
2010-02-23,55267.23,3.42,4.05,9.23,26039.82
2010-02-24,41905.5,5.18,4.62,6.3,36554.65
2010-02-25,56484.34,6.29,4.39,8.21,43872.21
2010-02-26,18982.16,5.19,4.24,3.98,19563.8
2010-02-27,23819.23,4.38,5.88,7.7,16740.36
2010-02-28,17035.23,5.79,4.63,4.65,42125.1
2010-03-01,29639.86,4.74,3.58,6.07,34075.45
2010-03-02,32490.48,7.66,3.29,3.12,26453.54
2010-03-03,27210.71,7.61,2.19,4.06,30917.57
2010-03-04,52293.19,5.51,4.92,3.64,36605.26
2010-03-05,31053.9,4.64,3.15,4.68,37510.05
2010-03-06,27642.05,6.69,2.74,3.7,42356.51
2010-03-07,39421.32,3.18,5.27,7.84,26085.81
2010-03-08,21341.59,5.37,5.41,3.2,21682.56
2010-03-09,51098.86,4.68,5.76,7.32,33108.92
2010-03-10,18354.78,7.6,4.52,3.98,25719.02
2010-03-11,59409.91,3.06,6.47,9.62,31621.75
2010-03-12,49751.01,5.76,6.68,9.53,25859.53
2010-03-13,23942.21,6.7,6.04,4.58,17048.86
2010-03-14,15248.5,5.43,5.18,7.3,27491.08
2010-03-15,51695.76,3.43,3.52,3.2,34800.29
2010-03-16,46808.58,7.86,6.91,9.52,38376.37
2010-03-17,47805.32,5.59,3.37,6.66,28279.77
2010-03-18,49707.17,6.07,3.01,3.3,17452.85
2010-03-19,18332.01,4.18,4.21,5.4,25684.69
2010-03-20,31130.96,5.42,2.28,3.54,37947.7
2010-03-21,20214.11,5.15,6.89,5.75,25624.36
2010-03-22,53839.65,3.37,4.94,7.69,34985.52
2010-03-23,43048.42,3.53,4.78,6.29,28738.05
2010-03-24,29890.41,7.19,5.28,5.69,19960.36
2010-03-25,17860.13,4.2,4.49,3.83,38272.97
2010-03-26,28994.2,3.97,2.16,4.71,14779.04
2010-03-27,29633.25,5.52,5.06,3.7,29321.38
2010-03-28,47832.28,6.84,5.58,8.65,18893.4
2010-03-29,43690.09,3.31,4.08,3.95,14213.17
2010-03-30,54924.57,5.88,5.79,7.17,28596.82
2010-03-31,36249.67,3.6,3.14,5.4,28485.55
2010-04-01,20381.74,3.18,3.11,4.58,35327.73
2010-04-02,47096.02,3.26,2.81,7.48,36576.77
2010-04-03,49235.33,7.17,3.86,6.2,36017.12
2010-04-04,40257.47,3.59,6.24,5.8,25515.44
2010-04-05,49693.52,3.23,6.14,7.15,32845.76
2010-04-06,37220.8,5.19,3.91,6.44,31039.19
2010-04-07,38522.98,7.22,4.95,5.12,25911.54
2010-04-08,34239.35,4.31,5.6,6.91,31708.02
2010-04-09,16143.86,5.11,3.21,7.69,43259.18
2010-04-10,19855.11,3.2,2.84,3.19,18365.49
2010-04-11,16414.31,5.25,6.86,6.26,41890.48
2010-04-12,43638.47,5.89,5.09,3.4,13764.03
2010-04-13,29146.02,5.85,6.91,4.3,22176.84
2010-04-14,37885.68,4.66,3.69,6.92,21508.79
2010-04-15,55840.49,4.58,5.52,9.06,32670.05
2010-04-16,26218.15,3.53,3.11,9.18,16330.42
2010-04-17,33467.23,4.83,3.31,3.49,41117.47
2010-04-18,48999.8,3.5,4.56,5.93,39342.2
2010-04-19,25295.92,6.83,3.6,7.08,33518.17
2010-04-20,18464.1,7.83,2.84,4.03,27127.66
2010-04-21,28038.82,7.85,3.31,8.36,42787.55
2010-04-22,22254.96,7.33,2.18,8.21,39414.64
2010-04-23,56836.39,6.0,5.52,9.32,28477.4
2010-04-24,51365.42,6.5,4.46,3.06,35161.82
2010-04-25,43503.17,4.43,2.47,4.52,30708.69
2010-04-26,54215.73,6.15,2.86,8.79,31402.09
2010-04-27,51165.24,5.28,2.51,7.69,22922.21
2010-04-28,23395.65,5.41,5.06,9.26,27248.79
2010-04-29,55165.15,6.79,2.47,3.4,14578.01
2010-04-30,39270.4,4.41,5.77,7.18,23792.51
2010-05-01,51334.81,4.59,2.1,6.98,34962.34
2010-05-02,55324.11,7.62,3.25,3.25,43456.13
2010-05-03,29310.16,3.28,6.45,6.59,43781.12
2010-05-04,19952.34,5.43,5.59,7.27,30338.85
2010-05-05,25257.08,7.56,2.36,4.34,32018.53
2010-05-06,34219.85,6.05,6.11,4.91,18128.8
2010-05-07,51810.66,5.73,4.47,7.48,34945.17
2010-05-08,53732.88,4.25,6.23,6.28,14331.74
2010-05-09,15312.85,4.72,5.0,9.01,21394.63
2010-05-10,37983.63,7.26,5.41,5.4,34055.99
2010-05-11,33783.5,5.8,6.97,4.87,22240.23
2010-05-12,24994.85,5.57,3.16,9.89,13644.95
2010-05-13,20393.94,3.5,5.12,9.38,39451.72
2010-05-14,30192.68,3.08,4.3,3.2,22240.89
2010-05-15,57430.94,7.82,2.2,8.4,14082.47
2010-05-16,29544.13,4.88,2.07,3.77,14468.01
2010-05-17,38345.58,6.02,2.6,3.19,20308.04
2010-05-18,46635.85,3.4,5.25,4.92,17874.53
2010-05-19,31363.33,6.42,4.84,4.89,37551.9
2010-05-20,58730.19,7.66,4.77,8.74,22615.57
2010-05-21,58310.13,5.88,2.16,7.97,38554.96
2010-05-22,26330.2,3.63,4.35,9.87,17736.92
2010-05-23,37376.18,5.91,6.62,7.98,28265.01
2010-05-24,28539.52,6.83,3.99,5.93,34705.23
2010-05-25,27817.82,5.03,5.12,7.89,33515.7
2010-05-26,16659.91,7.4,5.9,10.0,31837.27
2010-05-27,42430.4,6.24,5.92,7.97,42519.11
2010-05-28,37620.56,7.5,4.6,8.33,19541.33
2010-05-29,17316.54,6.12,6.29,9.57,28292.73
2010-05-30,27539.09,3.66,3.96,3.8,41171.75
2010-05-31,55871.96,4.55,6.44,7.93,14570.49
2010-06-01,25780.29,4.01,3.2,8.96,13844.31
2010-06-02,21520.27,7.54,3.4,9.68,19698.98
2010-06-03,37025.37,6.8,2.27,4.48,32889.7
2010-06-04,59354.27,6.38,5.98,6.53,20576.03
2010-06-05,25892.49,4.5,4.09,7.76,18277.92
2010-06-06,45246.1,3.92,3.15,4.73,27140.48
2010-06-07,49272.88,6.78,3.16,7.2,32248.74
2010-06-08,25693.69,5.37,6.51,4.8,20202.4
2010-06-09,47769.74,4.13,6.17,5.33,21922.81
2010-06-10,31550.24,6.08,4.77,6.09,32247.46
2010-06-11,43453.76,3.2,5.08,6.7,43209.37
2010-06-12,43508.84,4.63,4.37,6.15,34266.48
2010-06-13,39109.86,5.34,3.96,6.45,37835.84
2010-06-14,19063.04,3.74,6.58,5.09,24104.73
2010-06-15,52588.61,7.92,2.63,4.11,20984.39
2010-06-16,29435.1,4.05,4.09,3.33,26990.84
2010-06-17,23393.33,3.65,3.72,4.37,38635.38
2010-06-18,16834.88,4.02,4.49,7.07,27057.89
2010-06-19,41590.18,6.85,4.29,8.5,39941.94
2010-06-20,45490.4,5.13,4.59,4.18,44629.48
2010-06-21,15746.45,5.83,2.7,3.76,14376.88
2010-06-22,38044.19,3.11,4.57,8.25,13498.54
2010-06-23,25192.31,3.17,3.21,5.14,16936.46
2010-06-24,44032.78,5.23,2.92,9.66,24684.2
2010-06-25,22846.49,7.08,2.32,8.0,16324.39
2010-06-26,46092.2,7.43,5.81,5.29,40731.93
2010-06-27,32403.09,3.43,4.14,5.03,12763.83
2010-06-28,57152.85,5.69,5.13,6.67,22421.16
2010-06-29,21188.44,7.57,5.64,3.55,18094.92
2010-06-30,30347.99,4.94,5.4,3.82,42740.8
2010-07-01,20106.31,7.15,4.35,4.23,34092.87
2010-07-02,56611.21,3.67,3.94,8.42,42097.0
2010-07-03,54480.27,7.68,3.88,6.6,44086.85
2010-07-04,26607.37,6.76,5.2,3.07,28404.24
2010-07-05,44699.28,7.71,4.47,7.71,19732.53
2010-07-06,51775.0,6.38,6.25,5.97,18393.05
2010-07-07,39984.04,4.82,6.37,6.58,19356.32
2010-07-08,38834.28,7.69,2.85,4.5,35383.58
2010-07-09,25883.35,4.38,2.68,6.86,13334.71
2010-07-10,19189.62,4.66,5.15,9.85,13694.92
2010-07-11,55374.71,6.5,3.51,3.51,32068.72
2010-07-12,55518.81,6.83,2.09,4.99,33187.89
2010-07-13,43489.57,7.65,6.44,4.7,33953.68
2010-07-14,30256.34,4.02,3.13,4.74,24272.06
2010-07-15,30714.43,6.99,6.65,5.65,38596.18
2010-07-16,47668.01,6.69,5.59,8.73,29609.61
2010-07-17,55369.96,3.32,5.81,9.39,15480.37
2010-07-18,54918.89,4.94,3.01,4.42,38304.28
2010-07-19,50094.4,4.41,3.17,6.8,43451.24
2010-07-20,43891.42,4.52,4.61,7.46,13981.2
2010-07-21,18786.3,7.91,2.86,6.65,24914.59
2010-07-22,22273.29,6.21,3.53,6.04,28088.03
2010-07-23,55434.94,6.59,3.61,4.34,16833.54
2010-07-24,42289.31,7.88,2.8,6.42,40634.4
2010-07-25,15413.87,4.89,3.03,5.81,21376.94
2010-07-26,19566.22,7.01,5.94,8.57,37839.28
2010-07-27,44857.58,5.17,2.84,8.35,34142.82
2010-07-28,15227.77,7.35,2.14,3.94,31735.51
2010-07-29,22236.36,3.9,5.15,3.62,18340.71
2010-07-30,39693.02,7.74,6.88,9.36,19283.22
